id,source_item_idx,scene_id,task_type,sft_initial_score,sft_final_score,sft_n_steps,sft_n_actions,env_n_steps,env_sum_reward,env_final_total_score,env_final_pos_score,env_final_ori_score,env_best_score,env_traj_success,env_invalid_actions,env_near_success_steps,env_near_success_bonus,env_collisions,success_path,done_at_step
sft_000108,108,0267_840790,size_distance_invariance,0.559485,0.969812,3,14,1,20.683119403437885,0.8374254770125541,0.86939049674799,0.7797178185915196,0.8374254770125541,True,0,1,0.49914900592249434,0,auto_term,1
sft_000109,109,0267_840790,equidistance,0.597134,0.993249,3,8,2,20.347134376160096,0.6166694369123461,0.9968523382759693,0.043894642016025685,0.6166694369123461,True,1,1,0.49236663129732466,0,auto_term,2
sft_000110,110,0267_840790,projective_relations,0.6,0.990314,3,13,2,20.36095916135197,0.6436208420484034,0.9433909881195699,0.15686119588760788,0.6436208420484034,True,1,1,0.4941489069938814,0,auto_term,2
sft_000111,111,0267_840790,occlusion_alignment,0.231695,0.956259,5,24,6,-0.3077442668323826,0.1284776421486512,0.07942274886278049,0.7054002371237371,0.2319830040567983,False,4,1,0.45386424027254413,0,none,6
sft_000115,115,0267_840790,occlusion_alignment,0.097368,0.991285,7,33,6,-0.3186813929502819,0.17581528050993128,0.11858621008207079,0.7382688959729834,0.17581528050993128,False,4,0,0.35209489780482284,0,none,6
sft_000119,119,0267_840790,equidistance,0.5475,0.993888,3,11,2,20.36376172470663,0.6025623236142529,0.9999999887063171,0.006404988631991792,0.6025623236142529,True,1,1,0.49123041005706225,0,auto_term,2
sft_000120,120,0267_840790,projective_relations,0.6,0.961351,3,13,2,20.358137821993427,0.6385761936747558,0.9407612216909018,0.14606755172729718,0.6385761936747558,True,1,1,0.4938498918221591,0,auto_term,2
sft_000121,121,0267_840790,occlusion_alignment,0.075923,0.992643,5,22,6,-0.4662886486141309,0.08969009352115104,0.09159572063264859,0.0685566251881494,0.08969009352115104,False,4,0,0.23682759446606755,0,none,6
sft_000126,126,0267_840790,occlusion_alignment,0.39241,0.952607,5,18,4,-0.11870233769612992,0.39241034616803216,0.5113724713092599,1.2262066682956611e-12,0.39241034616803216,False,3,1,0.4362976623037534,0,none,4
sft_000128,128,0267_840790,projective_relations,0.572626,0.982782,5,21,1,20.57622291178588,0.6464510765306023,0.9079401383740663,0.19989856724051583,0.6464510765306023,True,0,1,0.4943103271703404,0,auto_term,1
sft_000130,130,0267_840790,occlusion_alignment,0.40532,0.953587,4,19,4,-0.11152704438438554,0.4056566598916208,0.5337566808092963,0.0013982363057766835,0.4056566598916208,False,3,1,0.4433047286420046,0,none,4
sft_000133,133,0267_840790,occlusion_alignment,0.424296,0.983533,4,17,4,-0.10297938273993201,0.42429563998126596,0.5678502718931743,1.2052612254627003e-12,0.42429563998126596,False,3,1,0.45202061725994264,0,none,4
sft_000135,135,0267_840790,projective_relations,0.584467,0.988583,4,19,1,20.534605728506254,0.584596838512389,0.9454662814828158,0.0003410344711600105,0.584596838512389,True,0,1,0.48954062130483783,0,auto_term,1
sft_000136,136,0267_840790,projective_relations,0.365402,0.951062,5,22,2,20.41066099416431,0.5317122886635799,0.7959607722888954,2.0562558374776443e-12,0.5317122886635799,True,1,1,0.4825057889021571,0,auto_term,2
